Guess? yes no 
Height   short medium tall 
Weight   light middle  heavy 
Age      kid young middle old ancient 
Income   lower low-mid middle upp-mid upper 
Gender   male female 
Health   poor average good 
Home     condo apt. room house commune 
Area     rural suburb urban 
Transit  bus taxi train boat car plane 

short	middle	middle	upper	male	poor	condo	urban	plane	yes
tall	light	kid	lower	female	good	commune	rural	train	no
medium	heavy	ancient	upper	male	average	condo	rural	train	no
medium	heavy	middle	lower	male	poor	condo	suburb	train	no
short	middle	old	upp-mid	female	average	room	rural	plane	no
tall	heavy	ancient	low-mid	female	poor	commune	rural	train	no
short	middle	ancient	upper	female	poor	commune	rural	train	no
tall	heavy	middle	upp-mid	male	good	condo	rural	taxi	yes
tall	heavy	young	upper	female	average	house	urban	boat	yes
medium	heavy	young	middle	female	good	apt.	rural	boat	no
tall	middle	old	middle	female	good	commune	rural	train	no
short	middle	old	lower	female	average	house	urban	bus	no
medium	light	middle	middle	male	good	room	rural	plane	no
medium	middle	kid	upper	male	good	room	suburb	car	no
short	heavy	middle	low-mid	female	poor	house	rural	taxi	no
short	middle	young	low-mid	male	average	room	suburb	plane	no
medium	light	old	middle	female	good	apt.	urban	boat	no
medium	middle	young	middle	male	poor	condo	rural	train	no
tall	middle	young	upper	female	average	apt.	rural	plane	no
short	light	ancient	upp-mid	male	average	condo	urban	boat	no
tall	heavy	middle	upper	female	poor	room	suburb	taxi	no
short	heavy	young	middle	male	good	apt.	rural	boat	no
short	light	old	lower	female	good	commune	rural	bus	no
tall	heavy	kid	middle	female	poor	room	suburb	train	no
tall	light	young	low-mid	male	average	apt.	suburb	train	no
short	middle	kid	low-mid	female	good	commune	suburb	train	no
medium	middle	young	low-mid	male	average	apt.	suburb	boat	no
tall	middle	old	lower	female	good	commune	rural	boat	no
tall	heavy	middle	lower	female	poor	house	suburb	train	no
short	heavy	kid	low-mid	male	poor	commune	rural	bus	no
short	heavy	kid	middle	female	poor	commune	urban	taxi	no
tall	light	young	lower	female	poor	condo	rural	car	no
tall	light	old	upper	male	good	room	urban	taxi	no
tall	heavy	middle	upper	male	average	apt.	rural	plane	no
medium	light	middle	upper	male	average	room	rural	bus	no
tall	middle	old	upp-mid	female	average	commune	rural	taxi	no
tall	heavy	ancient	low-mid	male	poor	condo	suburb	car	no
medium	light	young	upp-mid	male	poor	commune	rural	plane	no
medium	middle	middle	lower	female	poor	apt.	suburb	boat	no
short	heavy	young	upp-mid	male	poor	room	suburb	bus	no
tall	heavy	old	middle	male	good	condo	urban	plane	no
short	light	ancient	middle	male	average	apt.	rural	car	no
tall	middle	young	upp-mid	female	poor	apt.	rural	train	no
short	light	old	upper	male	average	house	urban	bus	no
tall	heavy	old	upp-mid	female	poor	room	urban	plane	no
tall	middle	old	low-mid	female	average	room	rural	taxi	no
short	light	ancient	middle	female	poor	house	urban	train	no
short	light	old	upper	male	poor	apt.	suburb	bus	no
medium	light	old	upp-mid	male	average	commune	rural	plane	no
medium	heavy	kid	upper	male	poor	apt.	urban	train	no
short	light	ancient	lower	male	average	apt.	rural	plane	no
tall	heavy	old	upper	male	good	room	urban	car	no
